53,1352
53,1351
53,1508
53,1507
53,1506
53,1353
53,1188
53,1075
53,1074
53,1073
53,990
53,989
53,987
53,986
53,985
53,983
53,793
53,792
53,788
53,670
53,548
53,789
53,671
53,549
53,859
53,858
53,820
53,579
53,580
53,381
53,262
53,258
53,300
53,189
53,190
53,191
53,234
53,235
53,982
55,1500
55,1499
55,1456
55,1455
55,1454
55,1293
55,1292
55,1134
55,976
55,1448
55,1369
55,1490
55,1491
55,1485
55,1484
55,1087
55,1088
55,964
55,963
55,764
55,767
55,457
55,456
55,455
55,452
55,451
55,449
55,450
55,363
55,364
55,127
55,128
55,129
55,130
55,131
55,845
55,846
