66,721
66,722
66,725
66,724
66,730
66,731
66,741
66,742
66,750
66,751
66,752
66,760
66,761
66,1381
66,1382
66,1385
66,1386
66,1387
67,159
67,160
67,164
67,165
67,171
67,172
67,170
67,173
67,179
67,181
67,180
67,187
67,188
67,198
67,199
67,495
67,496
67,489
67,490
67,488
67,480
67,481
67,473
67,474
67,468
67,467
67,469
67,737
67,734
67,746
67,747
67,756
67,757
67,1423
67,1422
67,1418
67,1417
67,1416
67,1411
67,1410
67,1402
67,1401
67,1400
67,1398
67,1408
66,1710
66,1711
66,1719
66,1720
66,1726
66,1727
67,1703
67,1705
67,1715
67,1713
116,1420
